"","Gene","stA","Gene_Pres_A","stB","Gene_Pres_B"
"1","group_11429","14",1,"15BC",0
"2","group_11429","14",1,"23F",0
"3","group_11429","15BC",0,"19F",1
"4","group_11429","15BC",0,"35B",1
"5","group_11429","19A",0,"35B",1
"6","group_11429","19F",1,"23F",0
"7","group_11429","35B",1,"9V",0
"8","group_11429","10A",1,"33D",0
"9","group_11429","10A",1,"35B",0
"10","group_11429","10A",1,"35F",0
"11","group_11429","10A",1,"6A",0
"12","group_11429","10A",1,"6B",0
"13","group_11429","10A",1,"9V",0
"14","group_11429","10B",1,"33D",0
"15","group_11429","10B",1,"35B",0
"16","group_11429","10B",1,"35F",0
"17","group_11429","10B",1,"6A",0
"18","group_11429","10B",1,"6B",0
"19","group_11429","10B",1,"9V",0
"20","group_11429","10F",1,"33D",0
"21","group_11429","10F",1,"35B",0
"22","group_11429","10F",1,"35F",0
"23","group_11429","10F",1,"6A",0
"24","group_11429","10F",1,"6B",0
"25","group_11429","10F",1,"9V",0
"26","group_11429","19F",1,"33D",0
"27","group_11429","19F",1,"35B",0
"28","group_11429","19F",1,"35F",0
"29","group_11429","19F",1,"6A",0
"30","group_11429","19F",1,"6B",0
"31","group_11429","19F",1,"9V",0
"32","group_11429","6B",0,"10B",1
"33","group_11429","6B",0,"19F",1
"34","group_11429","6A",1,"6D",0
